,code,list_date,lot_size,mkt_cap,offer_range,list_price,oversub,amtforone,hit_rate,cur_price,day1_perform,offer_period,list_market,industry,bkgd,hk_offer_shares,sponsor,sponsor1,sponsor2,sponsor3,sponsor4,sponsor5,offer_shares,offer_percent,lots_for_one,flow_cap,full_cap,sub_multiple,get_1lot_percent,HSBC Corporate Finance (Hong Kong) Limited,J.P. Morgan Securities (Far East) Limited,Merrill Lynch Far East Limited,RaffAello Capital Limited,UBS Securities Hong Kong Limited,中信建投(國際)融資有限公司,中信里昂證券資本市場有限公司,中國光大融資有限公司,中國國際金融香港證券有限公司,中國泛海企業融資有限公司,中國銀河國際證券(香港)有限公司,中州國際融資有限公司,中毅資本有限公司,中銀國際亞洲有限公司,交銀國際(亞洲)有限公司,信達國際融資有限公司,光銀國際資本有限公司,八方金融有限公司,凱基金融亞洲有限公司,創僑國際有限公司,創越融資有限公司,創陞融資有限公司,力高企業融資有限公司,卓亞（企業融資）有限公司,南華融資有限公司,博思融資有限公司,同人融資有限公司,國信證券(香港)融資有限公司,國元融資(香港)有限公司,國泰君安融資有限公司,均富融資有限公司,域高融資有限公司,大有融資有限公司,天泰金融服務有限公司,天財資本國際有限公司,天達融資亞洲有限公司,安信融資(香港)有限公司,富強金融資本有限公司,富比資本有限公司,實德新源資本有限公司,工銀國際融資有限公司,廣發融資(香港)有限公司,建泉融資有限公司,建銀國際金融有限公司,德健融資有限公司,德意志證券亞洲有限公司,招商證券(香港)有限公司,招銀國際融資有限公司,摩根士丹利亞洲有限公司,摩根大通證券(遠東)有限公司,新百利融資有限公司,星展亞洲融資有限公司,智富融資有限公司,東方融資(香港)有限公司,東興證券(香港)有限公司,民銀資本有限公司,法國巴黎證券(亞洲)有限公司,浦銀國際融資有限公司,浩德融資有限公司,海通國際資本有限公司,滙富融資有限公司,瑞士信貸(香港)有限公司,申萬宏源融資(香港)有限公司,竤信國際有限公司,第一上海融資有限公司,紅日資本有限公司,絡繹資本有限公司,耀盛資本有限公司,脈搏資本有限公司,興業金融融資有限公司,興證國際融資有限公司,花旗環球金融亞洲有限公司,英皇融資有限公司,英高財務顧問有限公司,茂宸環球資本有限公司,華泰金融控股(香港)有限公司,華邦融資有限公司,華高和昇財務顧問有限公司,西證(香港)融資有限公司,豐盛融資有限公司,農銀國際融資有限公司,野村國際(香港)有限公司,金利豐財務顧問有限公司,銀河—聯昌證券(香港)有限公司,鎧盛資本有限公司,長江證券融資(香港)有限公司,長雄證券有限公司,香江資本有限公司,高盛(亞洲)有限責任公司,麥格理資本股份有限公司,鼎珮證券有限公司,TUS Corporate Finance Limited,中泰國際融資有限公司,國金證券(香港)有限公司,上銀國際有限公司,富瑞金融集團香港有限公司,Credit Suisse (Hong Kong) Limited,復星恆利證券有限公司,day1_performance
10,HK.01747,2019/11/14,2000,5.10-7.45,1.02-1.49,1.020,15.1,10手,40.0%,0.870,-9.804%,2019/10/31 - 2019/11/05,香港聯合交易所有限公司 (主板),電子消費品,其他,"37,500,000(30%)",茂宸環球資本有限公司、,茂宸環球資本有限公司,,,,,37500000.0,30.0,10,127500000.0,509999999.99999994,16.1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.804
11,HK.08173,2019/11/14,40000,,0.19,0.190,2.9,4手,32.7%,0.077,-79.200%,2019/11/04 - 2019/11/07,香港聯合交易所有限公司 (創業板),建築及裝修,其他,"227,679,850 (100%)",大有融資有限公司、,大有融資有限公司,,,,,227679850.0,100.0,4,43259171.5,173036686.0,3.9,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.2
12,HK.08627,2019/11/14,8000,2.00-2.64,0.25-0.33,0.275,35.1,20手,30.0%,0.800,+1.818%,2019/10/30 - 2019/11/04,香港聯合交易所有限公司 (創業板),其他支援服務,其他,"60,000,000 (30%)",富比資本有限公司、,富比資本有限公司,,,,,60000000.0,30.0,20,55000000.00000001,220000000.00000003,36.1,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818
13,HK.01346,2019/11/13,4000,5.44-6.72,0.85-1.05,0.850,30.2,50手,40.0%,0.790,-27.059%,2019/10/31 - 2019/11/06,香港聯合交易所有限公司 (主板),服裝,其他,"51,840,000(30%)",浩德融資有限公司、,浩德融資有限公司,,,,,51840000.0,30.0,50,146880000.0,544000000.0,31.2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.059
14,HK.01401,2019/11/13,20000,5.00-6.00,0.50-0.60,0.500,73.0,125手,5.0%,0.760,+24.000%,2019/10/30 - 2019/11/04,香港聯合交易所有限公司 (主板),電子消費品,其他,"50,000,000(20%)",德健融資有限公司、,德健融資有限公司,,,,,50000000.0,20.0,125,125000000.0,500000000.0,74.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
15,HK.06186,2019/11/13,1000,670.00-893.33,7.50-10.00,7.500,12.1,10手,65.0%,7.590,-0.800%,2019/10/30 - 2019/11/05,香港聯合交易所有限公司 (主板),乳製品,其他,"89,334,000 (10%)",招商證券(香港)有限公司、J.P. Morgan Securities (Far East) Limited、建銀國際金融有限公司、,招商證券(香港)有限公司,J.P. Morgan Securities (Far East) Limited,建銀國際金融有限公司,,,89334000.0,10.0,10,6700050000.0,66999749999.99999,13.1,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
16,HK.01640,2019/11/12,2000,5.00-7.00,1.25-1.75,1.250,18.5,15手,65.0%,1.970,-0.800%,2019/10/31 - 2019/11/05,香港聯合證券交易所有限公司(主板),廣告,其他,"30,000,000(30%)",東興證券(香港)有限公司、,東興證券(香港)有限公司,,,,,30000000.0,30.0,15,125000000.0,500000000.0,19.5,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8
17,HK.03681,2019/11/12,300,76.47-96.60,7.60-9.60,7.600,11.9,1手,100.0%,4.060,-21.053%,2019/10/31 - 2019/11/05,香港聯合交易所有限公司 (主板),生物科技,其他,"18,213,000 (10%)",中國國際金融香港證券有限公司、東方融資(香港)有限公司、,中國國際金融香港證券有限公司,東方融資(香港)有限公司,,,,18213000.0,10.0,1,1384188000.0,7647499999.999999,12.9,100.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.053
18,HK.01427,2019/11/11,1000,19.12-24.80,2.39-3.10,2.500,-0.20999999999999996,1手,100.0%,2.450,+2.800%,2019/10/30 - 2019/11/04,香港聯合交易所有限公司 (主板),地產發展,其他,"15,850,000(7.9%)",國泰君安融資有限公司、農銀國際融資有限公司、,國泰君安融資有限公司,農銀國際融資有限公司,,,,15850000.0,7.9,1,501582278.4810126,2000000000.0,0.79,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
19,HK.01501,2019/11/08,200,8.04-8.32,20.10-20.80,20.800,267.0,7手,30.0%,33.300,+29.808%,2019/10/28 - 2019/10/31,香港聯合交易所有限公司 (主板),醫療器械及服務,H股,"20,000,000 (50%)",交銀國際(亞洲)有限公司、,交銀國際(亞洲)有限公司,,,,,20000000.0,50.0,7,832000000.0,832000000.0,268.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.808
20,HK.01870,2019/11/08,2500,5.04-6.81,0.97-1.31,0.970,19.1,20手,25.0%,2.440,+46.392%,2019/10/25 - 2019/10/30,香港聯合交易所有限公司 (主板),建築及裝修,其他,"26,000,000(20%)",東興證券(香港)有限公司、,東興證券(香港)有限公司,,,,,26000000.0,20.0,20,126100000.0,504251908.3969465,20.1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.392
21,HK.01875,2019/11/08,400,37.34-43.04,6.55-7.55,6.550,12.0,20手,15.0%,4.610,-4.427%,2019/10/29 - 2019/11/01,香港聯合交易所有限公司 (主板),生物科技,其他,"9,000,000(10%)",工銀國際融資有限公司、,工銀國際融資有限公司,,,,,9000000.0,10.0,20,589500000.0,3733933774.834437,13.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.427
22,HK.01921,2019/11/08,2000,23.85-27.45,1.59-1.83,1.590,1.5,2手,60.0%,1.410,-3.774%,2019/10/28 - 2019/10/31,香港聯合交易所有限公司 (主板),石油天然氣設備及服務,其他,"30,000,000(10%)",民銀資本有限公司、,民銀資本有限公司,,,,,30000000.0,10.0,2,477000000.0,2385000000.0,2.5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.774
23,HK.01987,2019/11/08,4000,5.00-7.00,0.50-0.70,0.500,25.4,75手,35.0%,0.630,0.000%,2019/10/22 - 2019/10/25,香港聯合交易所有限公司 (主板),建築及裝修,其他,"75,000,000 (30%)",竤信國際有限公司、,竤信國際有限公司,,,,,75000000.0,30.0,75,125000000.0,500000000.0,26.4,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,HK.03603,2019/11/08,3000,13.50-16.50,0.90-1.10,1.000,3.6,6手,80.0%,2.990,+30.000%,2019/10/25 - 2019/10/30,香港聯合交易所有限公司 (主板),超市/百貨/商城,其他,"37,500,000(10%)",RaffAello Capital Limited、,RaffAello Capital Limited,,,,,37500000.0,10.0,6,375000000.0,1499999999.9999998,4.6,80.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
25,HK.01922,2019/11/06,2000,5.07-6.08,1.90-2.28,2.180,381.9,50手,3.0%,1.740,+15.596%,2019/10/25 - 2019/10/30,香港聯合交易所有限公司 (主板),物業管理及代理,其他,"33,340,000(50%)",工銀國際融資有限公司、,工銀國際融資有限公司,,,,,33340000.0,50.0,50,145362400.0,581333333.3333335,382.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.596
26,HK.02163,2019/11/06,300,11.80-15.21,9.68-12.48,9.680,0.4,1手,100.0%,9.640,-0.103%,2019/10/24 - 2019/10/29,香港聯合交易所有限公司 (主板),建築及裝修,H股,"12,187,200(10%)",中國國際金融香港證券有限公司、中信建投(國際)融資有限公司、,中國國際金融香港證券有限公司,中信建投(國際)融資有限公司,,,,12187200.0,10.0,1,1179720960.0,1179750000.0,1.4,100.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103
