,code,list_date,lot_size,mkt_cap,offer_range,list_price,oversub,amtforone,hit_rate,cur_price,day1_perform,offer_period,list_market,industry,bkgd,hk_offer_shares,sponsor,sponsor1,sponsor2,sponsor3,sponsor4,sponsor5,offer_shares,offer_percent,lots_for_one,flow_cap,full_cap,sub_multiple,get_1lot_percent,HSBC Corporate Finance (Hong Kong) Limited,J.P. Morgan Securities (Far East) Limited,Merrill Lynch Far East Limited,RaffAello Capital Limited,UBS Securities Hong Kong Limited,中信建投(國際)融資有限公司,中信里昂證券資本市場有限公司,中國光大融資有限公司,中國國際金融香港證券有限公司,中國泛海企業融資有限公司,中國銀河國際證券(香港)有限公司,中州國際融資有限公司,中毅資本有限公司,中銀國際亞洲有限公司,交銀國際(亞洲)有限公司,信達國際融資有限公司,光銀國際資本有限公司,八方金融有限公司,凱基金融亞洲有限公司,創僑國際有限公司,創越融資有限公司,創陞融資有限公司,力高企業融資有限公司,卓亞（企業融資）有限公司,南華融資有限公司,博思融資有限公司,同人融資有限公司,國信證券(香港)融資有限公司,國元融資(香港)有限公司,國泰君安融資有限公司,均富融資有限公司,域高融資有限公司,大有融資有限公司,天泰金融服務有限公司,天財資本國際有限公司,天達融資亞洲有限公司,安信融資(香港)有限公司,富強金融資本有限公司,富比資本有限公司,實德新源資本有限公司,工銀國際融資有限公司,廣發融資(香港)有限公司,建泉融資有限公司,建銀國際金融有限公司,德健融資有限公司,德意志證券亞洲有限公司,招商證券(香港)有限公司,招銀國際融資有限公司,摩根士丹利亞洲有限公司,摩根大通證券(遠東)有限公司,新百利融資有限公司,星展亞洲融資有限公司,智富融資有限公司,東方融資(香港)有限公司,東興證券(香港)有限公司,民銀資本有限公司,法國巴黎證券(亞洲)有限公司,浦銀國際融資有限公司,浩德融資有限公司,海通國際資本有限公司,滙富融資有限公司,瑞士信貸(香港)有限公司,申萬宏源融資(香港)有限公司,竤信國際有限公司,第一上海融資有限公司,紅日資本有限公司,絡繹資本有限公司,耀盛資本有限公司,脈搏資本有限公司,興業金融融資有限公司,興證國際融資有限公司,花旗環球金融亞洲有限公司,英皇融資有限公司,英高財務顧問有限公司,茂宸環球資本有限公司,華泰金融控股(香港)有限公司,華邦融資有限公司,華高和昇財務顧問有限公司,西證(香港)融資有限公司,豐盛融資有限公司,農銀國際融資有限公司,野村國際(香港)有限公司,金利豐財務顧問有限公司,銀河—聯昌證券(香港)有限公司,鎧盛資本有限公司,長江證券融資(香港)有限公司,長雄證券有限公司,香江資本有限公司,高盛(亞洲)有限責任公司,麥格理資本股份有限公司,鼎珮證券有限公司,TUS Corporate Finance Limited,中泰國際融資有限公司,國金證券(香港)有限公司,上銀國際有限公司,富瑞金融集團香港有限公司,Credit Suisse (Hong Kong) Limited,復星恆利證券有限公司,day1_performance
0,HK.02231,2019/12/05,1000,46.56-58.08,2.91-3.63,3.160,0.9,1手,100.0%,3.170,+2.215%,2019/11/25 - 2019/11/28,香港聯合交易所有限公司,地產發展,其他,"40,000,000(10%)",星展亞洲融資有限公司、,星展亞洲融資有限公司,,,,,40000000.0,10.0,1,1264000000.0,5056000000.0,1.9,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.215
1,HK.08208,2019/11/29,6000,2.28-2.88,0.38-0.48,0.400,29.3,35手,28.0%,0.360,0.000%,2019/11/14 - 2019/11/19,香港聯合交易所有限公司 (創業板),建築及裝修,其他,"15,000,000(10%)",天泰金融服務有限公司、,天泰金融服務有限公司,,,,,15000000.0,10.0,35,60000000.0,240000000.00000003,30.3,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HK.01425,2019/11/28,5000,5.00-6.25,0.40-0.50,0.400,13.0,30手,21.0%,0.400,+3.750%,2019/11/19 - 2019/11/22,香港聯合交易所有限公司 (主板),紡織及制衣,其他,"31,250,000(10%)",國泰君安融資有限公司、,國泰君安融資有限公司,,,,,31250000.0,10.0,30,125000000.0,500000000.0,14.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
3,HK.03759,2019/11/28,100,40.20-46.03,34.50-39.50,39.500,113.2,1手,100.0%,43.300,+6.962%,2019/11/14 - 2019/11/20,香港聯合交易所有限公司 (主板),藥品,H股,"58,268,100 (50%)",高盛(亞洲)有限責任公司、中信里昂證券資本市場有限公司、東方融資(香港)有限公司、,高盛(亞洲)有限責任公司,中信里昂證券資本市場有限公司,東方融資(香港)有限公司,,,58268100.0,50.0,1,4603179900.0,4603000000.0,114.2,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.962
4,HK.09988,2019/11/26,100,40348.15,188.00,176.000,41.4,5手,80.0%,198.000,+6.591%,2019/11/15 - 2019/11/20,香港聯合交易所有限公司 (主板),電子商貿及互聯網服務,其他,"50,000,000 (8.70%)",瑞士信貸(香港)有限公司、中國國際金融香港證券有限公司、,瑞士信貸(香港)有限公司,中國國際金融香港證券有限公司,,,,50000000.0,8.7,5,101149425287.35632,3777273617021.277,42.4,80.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.591
5,HK.01756,2019/11/25,1000,35.16-39.12,2.93-3.26,3.260,2.7,6手,70.0%,2.690,-17.178%,2019/11/14 - 2019/11/19,香港聯合交易所有限公司 (主板),其他支援服務,其他,"30,000,000(10%)",中信建投(國際)融資有限公司、,中信建投(國際)融資有限公司,,,,,30000000.0,10.0,6,977999999.9999999,3911999999.9999995,3.7,70.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.178
6,HK.02296,2019/11/21,8000,5.00-6.00,0.25-0.30,0.250,60.0,250手,25.0%,0.265,+4.000%,2019/10/31 - 2019/11/07,香港聯合交易所有限公司 (主板),建築及裝修,其他,"100,000,000(20%)",豐盛融資有限公司、,豐盛融資有限公司,,,,,100000000.0,20.0,250,125000000.0,500000000.0,61.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
7,HK.02103,2019/11/15,1000,116.47-150.00,3.30-4.25,3.980,-0.29000000000000004,1手,100.0%,3.990,-0.754%,2019/10/30 - 2019/11/08,香港聯合交易所有限公司 (主板),地產發展,其他,"37,569,000(7.10%)",農銀國際融資有限公司、華泰金融控股(香港)有限公司、,農銀國際融資有限公司,華泰金融控股(香港)有限公司,,,,37569000.0,7.1,1,2105980563.3802817,14047058823.529411,0.71,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.754
8,HK.03348,2019/11/15,2000,5.25-7.90,1.05-1.58,1.580,26.7,15手,50.0%,1.100,-21.519%,2019/10/31 - 2019/11/07,香港聯合交易所有限公司 (主板),機械裝備及器材,其他,"37,500,000(30%)",安信融資(香港)有限公司、,安信融資(香港)有限公司,,,,,37500000.0,30.0,15,197500000.0,790000000.0,27.7,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.519
9,HK.08617,2019/11/15,5000,2.00-2.40,0.50-0.60,0.550,61.7,18手,30.0%,0.520,+1.818%,2019/10/31 - 2019/11/05,香港聯合交易所有限公司 (創業板),機械裝備及器材,其他,"40,000,000 (40%)",絡繹資本有限公司、,絡繹資本有限公司,,,,,40000000.0,40.0,18,55000000.00000001,220000000.00000003,62.7,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818
